"Rank","NameCountry/Region","No. of FTE Students","No. of students per staff","International Students","Female:Male Ratio"
"=84","Emory UniversityUnited StatesCoursesEnquireAdmissions Support","12,647","4.2","20%","58 : 42"
"=84","Monash UniversityAustraliaCoursesEnquire","49,728","34.6","35%","57 : 43"
"86","Rice UniversityUnited StatesCoursesEnquireAdmissions Support","6,554","8.9","28%","42 : 58"
"=87","RWTH Aachen UniversityGermanyCourses","44,517","61.8","19%","32 : 68"
"=87","Uppsala UniversitySwedenCoursesVerify Documents","25,061","16.9","14%","56 : 44"
"89","University of TübingenGermanyCoursesVerify Documents","28,743","39.2","14%","58 : 42"
"=90","Charité - Universitätsmedizin BerlinGermanyCourses","6,943","17.5","19%","64 : 36"
"=90","University of MontrealCanadaCoursesExplore","37,311","20.3","23%","59 : 41"
"=90","University of ZurichSwitzerlandCourses","26,340","14.7","20%","57 : 43"
"=93","University of Science and Technology of ChinaChinaCoursesExplore","16,152","8.4","4%","n/a"
"=93","University of GlasgowUnited KingdomCoursesExplore","24,235","15.3","36%","58 : 42"
"=93","Michigan State UniversityUnited StatesCoursesEnquire","44,951","17.0","17%","51 : 49"
"=96","University of California, IrvineUnited StatesCoursesEnquireAdmissions Support","31,089","16.7","24%","53 : 47"
"=96","UNSW SydneyAustraliaCoursesExplore","41,358","30.5","36%","47 : 53"
"98","Lund UniversitySwedenCoursesVerify Documents","28,454","11.8","17%","54 : 46"
"=99","Dartmouth CollegeUnited StatesCoursesEnquireAdmissions Support","6,172","6.7","15%","48 : 52"
"=99","University of HelsinkiFinlandCourses","22,418","16.6","6%","65 : 35"
"101","Zhejiang UniversityChinaCoursesExplore","36,031","10.9","18%","21 : 79"
"102","Korea Advanced Institute of Science and Technology (KAIST)South KoreaCourses","9,587","10.4","9%","20 : 80"
"103","University of BaselSwitzerlandCourses","12,852","18.0","27%","55 : 45"
"104","Free University of BerlinGermanyCoursesVerify Documents","35,032","56.4","21%","59 : 41"
"104","Fudan UniversityChinaCourses","34,393","12.2","11%","51 : 49"
"106","University of SheffieldUnited KingdomCoursesEnquire","25,577","14.9","35%","50 : 50"
"107","University of Virginia (Main campus)United StatesCoursesEnquireAdmissions Support","24,295","9.4","12%","53 : 47"
"108","École PolytechniqueFranceCoursesExplore","2,908","5.6","36%","21 : 79"
"109","Georgetown UniversityUnited StatesCoursesEnquireAdmissions Support","15,801","8.5","17%","54 : 46"
"=110","University of BernSwitzerlandCourses","10,967","16.7","15%","56 : 44"
"=110","University of BonnGermanyCoursesVerify Documents","37,708","70.2","13%","55 : 45"
"=110","City University of Hong KongHong KongCoursesExplore","9,928","11.2","41%","57 : 43"
"=110","University of Pittsburgh-Pittsburgh campusUnited StatesCoursesEnquireAdmissions Support","26,517","5.9","11%","52 : 48"
"=114","University of Colorado BoulderUnited StatesCoursesEnquire","31,625","15.5","12%","44 : 56"
"=114","Durham UniversityUnited KingdomCoursesEnquireAdmissions Support","16,565","14.8","30%","54 : 46"
"=116","University of BirminghamUnited KingdomCoursesEnquire","28,354","15.1","28%","56 : 44"
"=116","University of CopenhagenDenmarkCourses","32,157","4.4","16%","55 : 45"
"118","University of SouthamptonUnited KingdomCoursesEnquire","24,078","13.9","36%","52 : 48"
"119","University of YorkUnited KingdomCoursesEnquire","15,194","14.9","25%","56 : 44"
"120","Trinity College DublinIrelandCoursesExplore","16,293","21.6","28%","59 : 41"
"=121","University of OsloNorwayCoursesVerify Documents","20,552","13.3","17%","62 : 38"
"=121","Vanderbilt UniversityUnited StatesCoursesEnquireAdmissions Support","12,038","3.1","14%","54 : 46"
"=123","Aarhus UniversityDenmarkCourses","26,867","14.8","11%","54 : 46"
"=123","Arizona State University (Tempe)United StatesCoursesExplore","46,362","20.8","20%","43 : 57"
"=123","University of GöttingenGermanyCoursesVerify Documents","30,399","29.6","12%","50 : 50"
"=123","University of MannheimGermanyCoursesVerify Documents","10,882","74.8","17%","56 : 44"
"=123","Radboud University NijmegenNetherlandsCoursesExplore","19,954","17.5","15%","55 : 45"
"=128","Université Catholique de LouvainBelgiumCoursesVerify Documents","25,952","39.6","21%","54 : 46"
"=128","Maastricht UniversityNetherlandsCoursesExplore","16,250","15.8","52%","59 : 41"
"130","Queen Mary University of LondonUnited KingdomCourses","16,434","14.0","44%","54 : 46"
"131","Technical University of BerlinGermanyCourses","22,472","64.4","22%","34 : 66"
"=132","University of AlbertaCanadaCoursesEnquire","31,844","21.0","26%","55 : 45"
"=132","Case Western Reserve UniversityUnited StatesCoursesEnquireAdmissions Support","10,412","7.8","23%","49 : 51"
"134","Nanjing UniversityChinaCourses","34,580","15.6","9%","48 : 52"
"134","The University of Western AustraliaAustraliaCoursesEnquire","18,510","21.9","26%","49 : 51"
"=135","University of AdelaideAustraliaCoursesExplore","21,339","30.4","27%","49 : 51"
"=135","University of GenevaSwitzerlandCourses","16,530","15.2","39%","61 : 39"
"=135","University of HamburgGermanyCoursesExplore","29,584","58.2","12%","56 : 44"
"=135","Karlsruhe Institute of TechnologyGermanyCoursesVerify Documents","26,593","25.8","20%","28 : 72"
"=135","Pompeu Fabra UniversitySpainCoursesVerify Documents","11,523","21.3","13%","60 : 40"
"141","University of ExeterUnited KingdomCoursesExplore","20,286","18.0","28%","54 : 46"
"142","Pohang University of Science and Technology (POSTECH)South KoreaCourses","3,238","10.7","4%","24 : 76"
"=143","Ghent UniversityBelgiumCoursesVerify Documents","35,835","35.2","10%","54 : 46"
"=143","University of ViennaAustriaCourses","33,185","19.3","27%","66 : 34"
"145","Autonomous University of BarcelonaSpainCoursesExplore","32,223","12.8","16%","59 : 41"
"=146","University of CologneGermanyCoursesVerify Documents","37,483","37.9","15%","n/a"
"=146","Indiana UniversityUnited StatesCoursesEnquire","65,707","13.8","16%","52 : 48"
"=146","Lancaster UniversityUnited KingdomCoursesEnquireAdmissions Support","12,202","12.8","39%","51 : 49"
"=149","University of NottinghamUnited KingdomCoursesEnquire","29,431","14.6","30%","54 : 46"
"=149","Ulm UniversityGermanyCoursesVerify Documents","10,719","28.0","13%","48 : 52"
"151","TU DresdenGermanyCoursesVerify Documents","33,560","35.1","14%","42 : 58"
"152","Tufts UniversityUnited StatesCoursesEnquireAdmissions Support","10,659","10.1","19%","55 : 45"
"=153","University of LeedsUnited KingdomCoursesEnquire","28,677","14.1","28%","60 : 40"
"=153","Sant’Anna School of Advanced Studies – PisaItalyCourses","737","11.9","17%","38 : 62"
"=153","Stockholm UniversitySwedenCourses","31,500","23.0","8%","n/a"
"=156","University of Cape TownSouth AfricaCoursesExplore","22,137","12.1","18%","53 : 47"
"=156","University of FloridaUnited StatesCoursesEnquireAdmissions Support","46,555","17.5","10%","54 : 46"
"158","University of AberdeenUnited KingdomCoursesEnquire","12,211","15.1","38%","55 : 45"
"=159","University of ArizonaUnited StatesCoursesEnquire","39,264","13.3","9%","52 : 48"
"159","Hong Kong Polytechnic UniversityHong KongCoursesExplore","21,977","27.8","25%","52 : 48"
"=159","University of WürzburgGermanyCourses","22,264","30.3","10%","57 : 43"
"=161","Scuola Normale Superiore di PisaItalyCourses","539","6.7","9%","29 : 71"
"=161","University of SussexUnited KingdomCoursesEnquire","13,891","16.5","39%","55 : 45"
"=163","University of RochesterUnited StatesCoursesEnquireAdmissions Support","9,681","4.2","29%","49 : 51"
"=163","Technical University of DenmarkDenmarkCoursesVerify Documents","9,116","6.5","25%","30 : 70"
"165","University of St AndrewsUnited KingdomCoursesEnquireAdmissions Support","8,965","12.7","47%","58 : 42"
"166","Vrije Universiteit AmsterdamNetherlandsCoursesVerify Documents","23,919","17.8","8%","57 : 43"
"=167","University of California, Santa CruzUnited StatesCoursesEnquire","17,868","23.1","5%","52 : 48"
"=167","Eindhoven University of TechnologyNetherlandsCoursesExplore","8,443","19.7","19%","25 : 75"
"=167","University of LeicesterUnited KingdomCoursesEnquire","14,712","14.0","36%","53 : 47"
"170","National Taiwan University (NTU)TaiwanCoursesExplore","31,783","11.5","8%","40 : 60"
"=171","Newcastle UniversityUnited KingdomCoursesEnquireExplore","21,500","14.5","29%","50 : 50"
"=171","Texas A&M UniversityUnited StatesCoursesExplore","58,567","25.8","9%","48 : 52"
"173","University of Notre DameUnited StatesCoursesEnquireAdmissions Support","12,035","13.7","12%","45 : 55"
"175","University of Erlangen-NurembergGermanyCourses","38,368","54.9","11%","49 : 51"
"=176","University of LausanneSwitzerlandCourses","11,957","9.6","23%","n/a"
"=176","University of OttawaCanadaCoursesEnquireExplore","35,002","25.6","18%","59 : 41"
"=176","Rutgers, the State University of New JerseyUnited StatesCoursesEnquireAdmissions Support","44,127","11.2","16%","52 : 48"
"179","University of Alabama at BirminghamUnited StatesCoursesExplore","15,744","15.3","6%","62 : 38"
"180","University of BolognaItalyCoursesExplore","66,998","23.9","11%","57 : 43"
"=181","Aalto UniversityFinlandCourses","12,421","19.0","23%","35 : 65"
"=181","George Washington UniversityUnited StatesCoursesEnquire","22,844","13.2","17%","58 : 42"
"=181","University of LiverpoolUnited KingdomCoursesEnquire","21,591","13.8","35%","55 : 45"
"=184","University of MünsterGermanyCoursesVerify Documents","42,974","43.9","8%","54 : 46"
"=184","Northeastern UniversityUnited StatesCoursesEnquireAdmissions Support","19,191","13.8","33%","49 : 51"
"=184","University of TwenteNetherlandsCoursesVerify Documents","7,149","13.5","30%","37 : 63"
"=187","Cardiff UniversityUnited KingdomCoursesEnquire","24,245","12.8","26%","58 : 42"
"=187","KTH Royal Institute of TechnologySwedenCoursesVerify Documents","12,486","15.4","18%","33 : 67"
"189","University of KonstanzGermanyCourses","11,288","52.3","12%","55 : 45"
"189","Shanghai Jiao Tong UniversityChinaCoursesExplore","40,711","11.0","9%","41 : 59"
"=190","University of Duisburg-EssenGermanyCoursesExplore","42,931","54.7","18%","48 : 52"
"=190","University of East AngliaUnited KingdomCoursesExplore","13,984","13.6","29%","61 : 39"
"=190","Western UniversityCanadaCoursesEnquire","29,732","22.9","17%","56 : 44"
"=194","Aalborg UniversityDenmarkCoursesExplore","16,021","13.7","14%","n/a"
"=194","Paris Diderot University – Paris 7FranceCourses","28,918","15.0","20%","63 : 37"
"196","University of Technology SydneyAustraliaCoursesExplore","25,637","43.4","36%","51 : 49"
"197","University of BergenNorwayCourses","13,116","12.3","14%","59 : 41"
"198","Korea UniversitySouth KoreaCoursesExplore","22,705","15.6","21%","n/a"
"=199","University of CalgaryCanadaCoursesEnquire","27,489","15.7","19%","n/a"
"=199","Lomonosov Moscow State UniversityRussian FederationCourses","29,063","7.2","25%","50 : 50"
"201–250","University of AntwerpBelgiumCoursesVerify Documents","15,096","29.6","16%","54 : 46"
"201–250","University of AucklandNew ZealandCoursesExplore","30,041","18.4","30%","54 : 46"
"201–250","University of BarcelonaSpainCoursesExplore","46,002","11.9","10%","62 : 38"
"201–250","University of BathUnited KingdomCoursesEnquireAdmissions Support","13,199","16.6","33%","46 : 54"
"201–250","Bielefeld UniversityGermanyCourses","24,255","64.3","8%","57 : 43"
"201–250","Brandeis UniversityUnited StatesCoursesEnquireAdmissions Support","5,385","12.5","26%","55 : 45"
"201–250","University at BuffaloUnited StatesCoursesEnquire","25,419","17.1","17%","45 : 55"
"201–250","University of California, RiversideUnited StatesCoursesEnquire","20,864","19.6","14%","52 : 48"
"201–250","Chalmers University of TechnologySwedenCoursesVerify Documents","9,257","12.4","17%","32 : 68"
"201–250","Copenhagen Business SchoolDenmarkCoursesVerify Documents","17,003","30.6","25%","48 : 52"
"201–250","University of DundeeUnited KingdomCoursesEnquire","10,960","15.5","23%","62 : 38"
"201–250","École des Ponts ParisTechFranceCoursesVerify Documents","1,943","13.4","47%","31 : 69"
"201–250","École Normale Supérieure de LyonFranceCourses","2,207","8.2","13%","46 : 54"
"201–250","University of FribourgSwitzerlandCourses","10,850","45.6","18%","59 : 41"
"201–250","University of GothenburgSwedenCoursesVerify Documents","18,873","9.9","12%","n/a"
"201–250","University of Hawai’i at MānoaUnited StatesCoursesEnquire","15,750","11.0","11%","56 : 44"
"201–250","Hebrew University of JerusalemIsraelCourses","16,492","11.5","5%","56 : 44"
"201–250","University of HohenheimGermanyCoursesVerify Documents","9,373","41.8","15%","57 : 43"
"201–250","University of IowaUnited StatesCoursesEnquire","27,897","12.3","13%","52 : 48"
"201–250","James Cook UniversityAustraliaCoursesEnquire","11,882","22.3","12%","63 : 37"
"201–250","University of KielGermanyCoursesVerify Documents","25,957","22.2","8%","53 : 47"
"201–250","King Abdulaziz UniversitySaudi ArabiaCoursesExplore","33,111","8.0","21%","55 : 45"
"201–250","Université Libre de BruxellesBelgiumCoursesVerify Documents","26,936","35.9","35%","55 : 45"
"201–250","University of LuxembourgLuxembourgCourses","4,969","16.5","57%","50 : 50"
"201–250","Macquarie UniversityAustraliaCoursesExplore","28,729","43.8","26%","53 : 47"
"201–250","University of MassachusettsUnited StatesCoursesEnquire","59,906","12.8","14%","48 : 52"
"201–250","Medical University of GrazAustriaCourses","3,368","10.7","23%","53 : 47"
"201–250","Medical University of ViennaAustriaCourses","7,086","7.9","29%","51 : 49"
"201–250","University of MiamiUnited StatesCoursesEnquireAdmissions Support","15,923","5.9","16%","51 : 49"
"201–250","University of OtagoNew ZealandCourses","18,283","20.1","20%","58 : 42"
"201–250","University of PaduaItalyCourses","43,289","20.9","4%","55 : 45"
"201–250","Paris-Sud UniversityFranceCourses","29,509","16.3","17%","56 : 44"
"201–250","University of PassauGermanyCourses","10,465","72.2","11%","60 : 40"
"201–250","University of PotsdamGermanyCoursesExplore","19,294","56.8","10%","59 : 41"
"201–250","Queen’s University BelfastUnited KingdomCoursesExplore","17,657","16.9","35%","55 : 45"
"201–250","Queensland University of TechnologyAustraliaCoursesExplore","33,931","35.3","16%","54 : 46"
"201–250","RCSI University of Medicine and Health SciencesIrelandCoursesExplore","2,202","19.1","68%","n/a"
"201–250","University of ReadingUnited KingdomCoursesEnquire","13,394","14.3","33%","57 : 43"
"201–250","University of South AustraliaAustraliaCoursesEnquire","17,465","26.1","44%","64 : 36"
"201–250","University of TampereFinlandCourses","9,484","21.8","5%","66 : 34"
"201–250","Tel Aviv UniversityIsraelCourses","22,878","22.9","5%","54 : 46"
"201–250","Tilburg UniversityNetherlandsCoursesExplore","7,666","21.2","14%","48 : 52"
"201–250","Ulsan National Institute of Science and Technology (UNIST)South KoreaCoursesExplore","4,255","13.5","8%","27 : 73"
"201–250","University College DublinIrelandCourses","22,081","23.5","27%","n/a"
"201–250","University of UtahUnited StatesCoursesEnquire","30,036","14.1","9%","45 : 55"
"201–250","Vita-Salute San Raffaele UniversityItalyCourses","2,745","7.3","5%","59 : 41"
"201–250","University of WaterlooCanadaCoursesExplore","32,395","23.7","18%","46 : 54"
"201–250","William & MaryUnited StatesCoursesEnquireAdmissions Support","8,098","11.8","9%","55 : 45"
"201–250","University of the WitwatersrandSouth AfricaCoursesExplore","28,279","26.1","8%","56 : 44"
"201–250","University of WollongongAustraliaCoursesExplore","18,209","31.2","26%","51 : 49"
"201–250","Yonsei University (Seoul campus)South KoreaCoursesExplore","17,875","14.7","22%","46 : 54"
"251–300","Brighton and Sussex Medical SchoolUnited KingdomCoursesEnquire","795","11.3","15%","57 : 43"
"251–300","University of CanberraAustraliaCoursesExplore","10,098","29.2","29%","52 : 48"
"251–300","University of Cincinnati – UptownUnited StatesCoursesEnquire","28,049","20.5","9%","52 : 48"
"251–300","Clark UniversityUnited StatesCoursesEnquire","3,136","11.9","25%","60 : 40"
"251–300","Colorado School of MinesUnited StatesCoursesEnquire","5,556","16.7","12%","28 : 72"
"251–300","Dalhousie UniversityCanadaCoursesEnquire","15,150","14.7","21%","55 : 45"
"251–300","University of DelawareUnited StatesCoursesEnquire","20,348","16.9","10%","57 : 43"
"251–300","University of EssexUnited KingdomCoursesEnquire","11,132","15.7","41%","55 : 45"
"251–300","Flinders UniversityAustraliaCoursesExplore","15,939","24.1","31%","64 : 36"
"251–300","Florida State UniversityUnited StatesCoursesEnquire","38,661","24.5","7%","56 : 44"
"251–300","Goethe University FrankfurtGermanyCourses","45,826","19.9","15%","57 : 43"
"251–300","Griffith UniversityAustraliaCoursesExplore","31,574","22.2","19%","57 : 43"
"251–300","University of IcelandIcelandCourses","8,276","14.1","11%","66 : 34"
"251–300","University of Illinois at ChicagoUnited StatesCoursesEnquire","25,705","11.2","19%","52 : 48"
"251–300","Indian Institute of ScienceIndiaCourses","4,071","9.4","1%","21 : 79"
"251–300","Jacobs UniversityGermanyCoursesExplore","1,114","16.6","69%","44 : 56"
"251–300","Johannes Gutenberg University of MainzGermanyCourses","32,359","28.0","11%","59 : 41"
"251–300","Université LavalCanadaCoursesExplore","29,588","16.9","13%","57 : 43"
"251–300","University of MarburgGermanyCourses","25,942","35.7","10%","55 : 45"
"251–300","Moscow Institute of Physics and Technology (MIPT)Russian FederationCourses","5,687","10.5","15%","19 : 81"
"251–300","University of NavarraSpainCoursesVerify Documents","10,717","14.7","20%","53 : 47"
"251–300","North Carolina State UniversityUnited StatesCoursesEnquire","30,190","12.8","14%","45 : 55"
"251–300","Oregon Health and Science UniversityUnited StatesCoursesEnquire","2,899","1.0","3%","65 : 35"
"251–300","Osaka UniversityJapanCourses","23,173","7.8","10%","31 : 69"
"251–300","University of OuluFinlandCoursesExplore","9,764","23.5","7%","50 : 50"
"251–300","Queen’s UniversityCanadaCoursesEnquireExplore","22,884","24.7","12%","58 : 42"
"251–300","Royal Holloway, University of LondonUnited KingdomCoursesEnquire","9,099","14.9","39%","60 : 40"
"251–300","Ruhr University BochumGermanyCourses","42,425","61.2","14%","49 : 51"
"251–300","St George’s, University of LondonUnited KingdomCoursesEnquire","3,240","15.3","19%","62 : 38"
"251–300","University of São PauloBrazilCourses","82,962","15.3","4%","48 : 52"
"251–300","Sapienza University of RomeItalyCourses","68,282","21.8","6%","57 : 43"
"251–300","Simon Fraser UniversityCanadaCoursesExplore","26,313","27.3","30%","55 : 45"
"251–300","University of Southern DenmarkDenmarkCourses","25,975","14.3","16%","53 : 47"
"251–300","University of South Florida (Tampa)United StatesCoursesEnquire","33,413","18.8","13%","n/a"
"251–300","Stony Brook UniversityUnited StatesCoursesEnquire","23,722","10.6","23%","49 : 51"
"251–300","University of StuttgartGermanyCoursesVerify Documents","26,697","47.1","20%","32 : 68"
"251–300","University of SurreyUnited KingdomCoursesExplore","11,987","15.6","40%","53 : 47"
"251–300","Swansea UniversityUnited KingdomCoursesEnquire","14,978","16.5","23%","45 : 55"
"251–300","Swedish University of Agricultural SciencesSwedenCoursesVerify Documents","3,745","4.4","4%","69 : 31"
"251–300","Syracuse UniversityUnited StatesCoursesEnquireAdmissions Support","20,277","16.0","20%","53 : 47"
"251–300","Technical University of DarmstadtGermanyCourses","18,221","40.7","16%","30 : 70"
"251–300","University of Texas at DallasUnited StatesCoursesExplore","20,787","21.6","25%","43 : 57"
"251–300","Tohoku UniversityJapanCourses","17,687","5.5","11%","26 : 74"
"251–300","Tokyo Institute of TechnologyJapanCourses","9,612","7.5","14%","14 : 86"
"251–300","University of TrentoItalyCourses","12,856","20.2","8%","51 : 49"
"251–300","TU WienAustriaCourses","17,827","34.0","29%","29 : 71"
"251–300","Virginia Polytechnic Institute and State UniversityUnited StatesCoursesExplore","32,296","18.5","14%","43 : 57"
"251–300","Vrije Universiteit BrusselBelgiumCoursesVerify Documents","11,101","27.8","22%","54 : 46"
"251–300","Wake Forest UniversityUnited StatesCoursesEnquireAdmissions Support","7,588","4.0","7%","52 : 48"
"301–350","Aix-Marseille UniversityFranceCourses","69,147","17.1","11%","58 : 42"
"301–350","University of Alaska FairbanksUnited StatesCoursesEnquire","3,667","8.4","6%","50 : 50"
"301–350","Alfaisal UniversitySaudi ArabiaCoursesExplore","2,407","10.6","40%","58 : 42"
"301–350","American UniversityUnited StatesCoursesEnquire","10,790","10.8","13%","65 : 35"
"301–350","Anglia Ruskin University ARUUnited KingdomCoursesEnquire","16,498","22.5","28%","61 : 39"
